,년월,지역,국가명,화물(톤)
0,2018-01,미주,미국,54339
1,2018-02,미주,미국,46270
2,2018-03,미주,미국,57069
3,2018-04,미주,미국,55639
4,2018-05,미주,미국,58745
5,2018-06,미주,미국,60077
6,2018-07,미주,미국,64079
7,2018-08,미주,미국,59088
8,2018-09,미주,미국,56577
9,2018-10,미주,미국,60402
10,2018-11,미주,미국,58952
11,2018-12,미주,미국,56195
12,2019-01,미주,미국,50415
13,2019-02,미주,미국,43868
14,2019-03,미주,미국,56073
15,2019-04,미주,미국,52819
16,2019-05,미주,미국,55228
17,2019-06,미주,미국,58301
18,2019-07,미주,미국,59325
19,2019-08,미주,미국,56513
20,2019-09,미주,미국,51911
21,2019-10,미주,미국,56901
22,2019-11,미주,미국,56471
23,2019-12,미주,미국,54869
24,2020-01,미주,미국,50883
25,2020-02,미주,미국,47326
26,2020-03,미주,미국,53208
27,2020-04,미주,미국,47042
28,2020-05,미주,미국,54248
29,2020-06,미주,미국,53228
30,2020-07,미주,미국,57475
31,2020-08,미주,미국,55963
32,2020-09,미주,미국,57417
33,2020-10,미주,미국,62205
34,2020-11,미주,미국,60339
35,2020-12,미주,미국,60937
36,2021-01,미주,미국,57316
37,2021-02,미주,미국,56951
38,2021-03,미주,미국,67916
39,2021-04,미주,미국,68522
40,2021-05,미주,미국,75215
41,2021-06,미주,미국,73746
42,2021-07,미주,미국,76726
43,2021-08,미주,미국,75521
44,2021-09,미주,미국,73517
45,2021-10,미주,미국,73053
46,2021-11,미주,미국,71877
47,2021-12,미주,미국,74757
48,2022-01,미주,미국,71402
49,2022-02,미주,미국,60823
50,2022-03,미주,미국,73228
51,2018-01,유럽,독일,12656
52,2018-02,유럽,독일,13103
53,2018-03,유럽,독일,15351
54,2018-04,유럽,독일,13798
55,2018-05,유럽,독일,13267
56,2018-06,유럽,독일,13127
57,2018-07,유럽,독일,13301
58,2018-08,유럽,독일,12756
59,2018-09,유럽,독일,13600
60,2018-10,유럽,독일,14998
61,2018-11,유럽,독일,16052
62,2018-12,유럽,독일,14553
63,2019-01,유럽,독일,12285
64,2019-02,유럽,독일,11517
65,2019-03,유럽,독일,14580
66,2019-04,유럽,독일,13083
67,2019-05,유럽,독일,12840
68,2019-06,유럽,독일,11943
69,2019-07,유럽,독일,12210
70,2019-08,유럽,독일,11667
71,2019-09,유럽,독일,12675
72,2019-10,유럽,독일,14271
73,2019-11,유럽,독일,14547
74,2019-12,유럽,독일,13502
75,2020-01,유럽,독일,12405
76,2020-02,유럽,독일,13280
77,2020-03,유럽,독일,15118
78,2020-04,유럽,독일,14949
79,2020-05,유럽,독일,14145
80,2020-06,유럽,독일,12576
81,2020-07,유럽,독일,12533
82,2020-08,유럽,독일,11403
83,2020-09,유럽,독일,12233
84,2020-10,유럽,독일,13732
85,2020-11,유럽,독일,14779
86,2020-12,유럽,독일,15677
87,2021-01,유럽,독일,14295
88,2021-02,유럽,독일,13667
89,2021-03,유럽,독일,15834
90,2021-04,유럽,독일,14611
91,2021-05,유럽,독일,14464
92,2021-06,유럽,독일,13786
93,2021-07,유럽,독일,14076
94,2021-08,유럽,독일,13430
95,2021-09,유럽,독일,14011
96,2021-10,유럽,독일,15516
97,2021-11,유럽,독일,14781
98,2021-12,유럽,독일,15057
99,2022-01,유럽,독일,14827
100,2022-02,유럽,독일,13159
101,2022-03,유럽,독일,16498
102,2018-01,유럽,프랑스,3345
103,2018-02,유럽,프랑스,3064
104,2018-03,유럽,프랑스,3491
105,2018-04,유럽,프랑스,3590
106,2018-05,유럽,프랑스,3916
107,2018-06,유럽,프랑스,4314
108,2018-07,유럽,프랑스,4371
109,2018-08,유럽,프랑스,4177
110,2018-09,유럽,프랑스,4366
111,2018-10,유럽,프랑스,4308
112,2018-11,유럽,프랑스,3344
113,2018-12,유럽,프랑스,3501
114,2019-01,유럽,프랑스,2806
115,2019-02,유럽,프랑스,2556
116,2019-03,유럽,프랑스,3013
117,2019-04,유럽,프랑스,3258
118,2019-05,유럽,프랑스,3640
119,2019-06,유럽,프랑스,3784
120,2019-07,유럽,프랑스,3930
121,2019-08,유럽,프랑스,3718
122,2019-09,유럽,프랑스,3812
123,2019-10,유럽,프랑스,3665
124,2019-11,유럽,프랑스,3356
125,2019-12,유럽,프랑스,3312
126,2020-01,유럽,프랑스,3214
127,2020-02,유럽,프랑스,2842
128,2020-03,유럽,프랑스,1894
129,2020-04,유럽,프랑스,968
130,2020-05,유럽,프랑스,998
131,2020-06,유럽,프랑스,919
132,2020-07,유럽,프랑스,1552
133,2020-08,유럽,프랑스,1630
134,2020-09,유럽,프랑스,1586
135,2020-10,유럽,프랑스,1764
136,2020-11,유럽,프랑스,2023
137,2020-12,유럽,프랑스,1536
138,2021-01,유럽,프랑스,1740
139,2021-02,유럽,프랑스,1701
140,2021-03,유럽,프랑스,1839
141,2021-04,유럽,프랑스,1578
142,2021-05,유럽,프랑스,1354
143,2021-06,유럽,프랑스,1531
144,2021-07,유럽,프랑스,1444
145,2021-08,유럽,프랑스,1505
146,2021-09,유럽,프랑스,1412
147,2021-10,유럽,프랑스,1550
